#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.9942	38.4362	GCA_001737865.2	chromosome I:CM005071.2; chromosome II:CM005072.2; chromosome III:CM005073.2; chromosome IV:CM005074.2; chromosome V:CM005075.2; chromosome VI:CM005076.2; chromosome VII:CM005077.2; chromosome VIII:CM005078.2; chromosome IX:CM005079.2; chromosome X:CM005080.2; chromosome XI:CM005081.2; chromosome XII:CM005082.2; chromosome XIII:CM005083.2; chromosome XIV:CM005084.2; chromosome XV:CM005085.2; chromosome XVI:CM005086.2	MBVA02	86	-	-	2016/09/12	2016/11/09	Chromosome	VIB/KULeuven	SAMN05190493
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0634	38.4368	GCA_001737875.1	chromosome I:CM005087.1; chromosome II:CM005088.1; chromosome III:CM005089.1; chromosome IV:CM005090.1; chromosome V:CM005091.1; chromosome VI:CM005092.1; chromosome VII:CM005093.1; chromosome VIII:CM005094.1; chromosome IX:CM005095.1; chromosome X:CM005096.1; chromosome XI:CM005097.1; chromosome XII:CM005098.1; chromosome XIII:CM005099.1; chromosome XIV:CM005100.1; chromosome XV:CM005101.1; chromosome XVI:CM005102.1	MBVB01	177	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190492
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3951	38.3148	GCA_001737885.1	chromosome I:CM005103.1; chromosome II:CM005104.1; chromosome III:CM005105.1; chromosome IV:CM005106.1; chromosome V:CM005107.1; chromosome VI:CM005108.1; chromosome VII:CM005109.1; chromosome VIII:CM005110.1; chromosome IX:CM005111.1; chromosome X:CM005112.1; chromosome XI:CM005113.1; chromosome XII:CM005114.1; chromosome XIII:CM005115.1; chromosome XIV:CM005116.1; chromosome XV:CM005117.1; chromosome XVI:CM005118.1	MBVC01	500	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190491
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3136	38.2589	GCA_001737895.1	chromosome I:CM005119.1; chromosome II:CM005120.1; chromosome III:CM005121.1; chromosome IV:CM005122.1; chromosome V:CM005123.1; chromosome VI:CM005124.1; chromosome VII:CM005125.1; chromosome VIII:CM005126.1; chromosome IX:CM005127.1; chromosome X:CM005128.1; chromosome XI:CM005129.1; chromosome XII:CM005130.1; chromosome XIII:CM005131.1; chromosome XIV:CM005132.1; chromosome XV:CM005133.1; chromosome XVI:CM005134.1	MBVD01	485	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190490
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.4098	38.3487	GCA_001737985.1	chromosome I:CM005135.1; chromosome II:CM005136.1; chromosome III:CM005137.1; chromosome IV:CM005138.1; chromosome V:CM005139.1; chromosome VI:CM005140.1; chromosome VII:CM005141.1; chromosome VIII:CM005142.1; chromosome IX:CM005143.1; chromosome X:CM005144.1; chromosome XI:CM005145.1; chromosome XII:CM005146.1; chromosome XIII:CM005147.1; chromosome XIV:CM005148.1; chromosome XV:CM005149.1; chromosome XVI:CM005150.1	MBVE01	587	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190489
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3584	38.3696	GCA_001737995.1	chromosome I:CM005151.1; chromosome II:CM005152.1; chromosome III:CM005153.1; chromosome IV:CM005154.1; chromosome V:CM005155.1; chromosome VI:CM005156.1; chromosome VII:CM005157.1; chromosome VIII:CM005158.1; chromosome IX:CM005159.1; chromosome X:CM005160.1; chromosome XI:CM005161.1; chromosome XII:CM005162.1; chromosome XIII:CM005163.1; chromosome XIV:CM005164.1; chromosome XV:CM005165.1; chromosome XVI:CM005166.1	MBVF01	325	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190488
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0773	38.4022	GCA_001738005.1	chromosome I:CM005167.1; chromosome II:CM005168.1; chromosome III:CM005169.1; chromosome IV:CM005170.1; chromosome V:CM005171.1; chromosome VI:CM005172.1; chromosome VII:CM005173.1; chromosome VIII:CM005174.1; chromosome IX:CM005175.1; chromosome X:CM005176.1; chromosome XI:CM005177.1; chromosome XII:CM005178.1; chromosome XIII:CM005179.1; chromosome XIV:CM005180.1; chromosome XV:CM005181.1; chromosome XVI:CM005182.1	MBVG01	112	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190487
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0994	38.2805	GCA_001738015.1	chromosome I:CM005183.1; chromosome II:CM005184.1; chromosome III:CM005185.1; chromosome IV:CM005186.1; chromosome V:CM005187.1; chromosome VI:CM005188.1; chromosome VII:CM005189.1; chromosome VIII:CM005190.1; chromosome IX:CM005191.1; chromosome X:CM005192.1; chromosome XI:CM005193.1; chromosome XII:CM005194.1; chromosome XIII:CM005195.1; chromosome XIV:CM005196.1; chromosome XV:CM005197.1; chromosome XVI:CM005198.1	MBVH01	263	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190486
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.2543	38.3703	GCA_001738105.1	chromosome I:CM005215.1; chromosome II:CM005216.1; chromosome III:CM005217.1; chromosome IV:CM005218.1; chromosome V:CM005219.1; chromosome VI:CM005220.1; chromosome VII:CM005221.1; chromosome VIII:CM005222.1; chromosome IX:CM005223.1; chromosome X:CM005224.1; chromosome XI:CM005225.1; chromosome XII:CM005226.1; chromosome XIII:CM005227.1; chromosome XIV:CM005228.1; chromosome XV:CM005229.1; chromosome XVI:CM005230.1	MBVI01	268	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190485
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.2977	38.2991	GCA_001738115.1	chromosome I:CM005199.1; chromosome II:CM005200.1; chromosome III:CM005201.1; chromosome IV:CM005202.1; chromosome V:CM005203.1; chromosome VI:CM005204.1; chromosome VII:CM005205.1; chromosome VIII:CM005206.1; chromosome IX:CM005207.1; chromosome X:CM005208.1; chromosome XI:CM005209.1; chromosome XII:CM005210.1; chromosome XIII:CM005211.1; chromosome XIV:CM005212.1; chromosome XV:CM005213.1; chromosome XVI:CM005214.1	MBVJ01	415	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190484
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0836	38.5037	GCA_001738125.1	chromosome I:CM005231.1; chromosome II:CM005232.1; chromosome III:CM005233.1; chromosome IV:CM005234.1; chromosome V:CM005235.1; chromosome VI:CM005236.1; chromosome VII:CM005237.1; chromosome VIII:CM005238.1; chromosome IX:CM005239.1; chromosome X:CM005240.1; chromosome XI:CM005241.1; chromosome XII:CM005242.1; chromosome XIII:CM005243.1; chromosome XIV:CM005244.1; chromosome XV:CM005245.1; chromosome XVI:CM005246.1	MBVK01	84	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190483
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	13.2505	38.2374	GCA_001738135.2	chromosome I:CM005247.2; chromosome II:CM005248.2; chromosome III:CM005249.2; chromosome IV:CM005250.2; chromosome V:CM005251.2; chromosome VI:CM005252.2; chromosome VII:CM005253.2; chromosome VIII:CM005254.2; chromosome IX:CM005255.2; chromosome X:CM005256.2; chromosome XI:CM005257.2; chromosome XII:CM005258.2; chromosome XIII:CM005259.2; chromosome XIV:CM005260.2; chromosome XV:CM005261.2; chromosome XVI:CM005262.2	MBVL02	1476	-	-	2016/09/12	2016/11/09	Chromosome	VIB/KULeuven	SAMN05190482
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8735	38.2173	GCA_001738225.1	chromosome I:CM005263.1; chromosome II:CM005264.1; chromosome III:CM005265.1; chromosome IV:CM005266.1; chromosome V:CM005267.1; chromosome VI:CM005268.1; chromosome VII:CM005269.1; chromosome VIII:CM005270.1; chromosome IX:CM005271.1; chromosome X:CM005272.1; chromosome XI:CM005273.1; chromosome XII:CM005274.1; chromosome XIII:CM005275.1; chromosome XIV:CM005276.1; chromosome XV:CM005277.1; chromosome XVI:CM005278.1	MBVM01	123	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190481
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.789	38.2778	GCA_001738235.1	chromosome I:CM005279.1; chromosome II:CM005280.1; chromosome III:CM005281.1; chromosome IV:CM005282.1; chromosome V:CM005283.1; chromosome VI:CM005284.1; chromosome VII:CM005285.1; chromosome VIII:CM005286.1; chromosome IX:CM005287.1; chromosome X:CM005288.1; chromosome XI:CM005289.1; chromosome XII:CM005290.1; chromosome XIII:CM005291.1; chromosome XIV:CM005292.1; chromosome XV:CM005293.1; chromosome XVI:CM005294.1	MBVN01	93	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190480
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8583	38.307	GCA_001738255.1	chromosome I:CM005295.1; chromosome II:CM005296.1; chromosome III:CM005297.1; chromosome IV:CM005298.1; chromosome V:CM005299.1; chromosome VI:CM005300.1; chromosome VII:CM005301.1; chromosome VIII:CM005302.1; chromosome IX:CM005303.1; chromosome X:CM005304.1; chromosome XI:CM005305.1; chromosome XII:CM005306.1; chromosome XIII:CM005307.1; chromosome XIV:CM005308.1; chromosome XV:CM005309.1; chromosome XVI:CM005310.1	MBVO01	87	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190479
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8898	38.3148	GCA_001738265.1	chromosome I:CM005311.1; chromosome II:CM005312.1; chromosome III:CM005313.1; chromosome IV:CM005314.1; chromosome V:CM005315.1; chromosome VI:CM005316.1; chromosome VII:CM005317.1; chromosome VIII:CM005318.1; chromosome IX:CM005319.1; chromosome X:CM005320.1; chromosome XI:CM005321.1; chromosome XII:CM005322.1; chromosome XIII:CM005323.1; chromosome XIV:CM005324.1; chromosome XV:CM005325.1; chromosome XVI:CM005326.1	MBVP01	117	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190478
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.9472	38.5128	GCA_001738345.1	chromosome I:CM005327.1; chromosome II:CM005328.1; chromosome III:CM005329.1; chromosome IV:CM005330.1; chromosome V:CM005331.1; chromosome VI:CM005332.1; chromosome VII:CM005333.1; chromosome VIII:CM005334.1; chromosome IX:CM005335.1; chromosome X:CM005336.1; chromosome XI:CM005337.1; chromosome XII:CM005338.1; chromosome XIII:CM005339.1; chromosome XIV:CM005340.1; chromosome XV:CM005341.1; chromosome XVI:CM005342.1	MBVQ01	85	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190477
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0684	38.3983	GCA_001738355.1	chromosome I:CM005343.1; chromosome II:CM005344.1; chromosome III:CM005345.1; chromosome IV:CM005346.1; chromosome V:CM005347.1; chromosome VI:CM005348.1; chromosome VII:CM005349.1; chromosome VIII:CM005350.1; chromosome IX:CM005351.1; chromosome X:CM005352.1; chromosome XI:CM005353.1; chromosome XII:CM005354.1; chromosome XIII:CM005355.1; chromosome XIV:CM005356.1; chromosome XV:CM005357.1; chromosome XVI:CM005358.1	MBVR01	89	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190476
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8606	38.3076	GCA_001738375.1	chromosome I:CM005359.1; chromosome II:CM005360.1; chromosome III:CM005361.1; chromosome IV:CM005362.1; chromosome V:CM005363.1; chromosome VI:CM005364.1; chromosome VII:CM005365.1; chromosome VIII:CM005366.1; chromosome IX:CM005367.1; chromosome X:CM005368.1; chromosome XI:CM005369.1; chromosome XII:CM005370.1; chromosome XIII:CM005371.1; chromosome XIV:CM005372.1; chromosome XV:CM005373.1; chromosome XVI:CM005374.1	MBVS01	115	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190475
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.2386	38.4388	GCA_001738395.1	chromosome I:CM005375.1; chromosome II:CM005376.1; chromosome III:CM005377.1; chromosome IV:CM005378.1; chromosome V:CM005379.1; chromosome VI:CM005380.1; chromosome VII:CM005381.1; chromosome VIII:CM005382.1; chromosome IX:CM005383.1; chromosome X:CM005384.1; chromosome XI:CM005385.1; chromosome XII:CM005386.1; chromosome XIII:CM005387.1; chromosome XIV:CM005388.1; chromosome XV:CM005389.1; chromosome XVI:CM005390.1	MBVT01	76	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190474
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0918	38.4336	GCA_001738465.1	chromosome I:CM005391.1; chromosome II:CM005392.1; chromosome III:CM005393.1; chromosome IV:CM005394.1; chromosome V:CM005395.1; chromosome VI:CM005396.1; chromosome VII:CM005397.1; chromosome VIII:CM005398.1; chromosome IX:CM005399.1; chromosome X:CM005400.1; chromosome XI:CM005401.1; chromosome XII:CM005402.1; chromosome XIII:CM005403.1; chromosome XIV:CM005404.1; chromosome XV:CM005405.1; chromosome XVI:CM005406.1	MBVU01	91	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190473
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3816	38.3932	GCA_001738485.1	chromosome I:CM005423.1; chromosome II:CM005424.1; chromosome III:CM005425.1; chromosome IV:CM005426.1; chromosome V:CM005427.1; chromosome VI:CM005428.1; chromosome VII:CM005429.1; chromosome VIII:CM005430.1; chromosome IX:CM005431.1; chromosome X:CM005432.1; chromosome XI:CM005433.1; chromosome XII:CM005434.1; chromosome XIII:CM005435.1; chromosome XIV:CM005436.1; chromosome XV:CM005437.1; chromosome XVI:CM005438.1	MBVV01	358	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190472
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3435	38.392	GCA_001738495.1	chromosome I:CM005439.1; chromosome II:CM005440.1; chromosome III:CM005441.1; chromosome IV:CM005442.1; chromosome V:CM005443.1; chromosome VI:CM005444.1; chromosome VII:CM005445.1; chromosome VIII:CM005446.1; chromosome IX:CM005447.1; chromosome X:CM005448.1; chromosome XI:CM005449.1; chromosome XII:CM005450.1; chromosome XIII:CM005451.1; chromosome XIV:CM005452.1; chromosome XV:CM005453.1; chromosome XVI:CM005454.1	MBVW01	360	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190471
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3189	38.3305	GCA_001738515.1	chromosome I:CM005407.1; chromosome II:CM005408.1; chromosome III:CM005409.1; chromosome IV:CM005410.1; chromosome V:CM005411.1; chromosome VI:CM005412.1; chromosome VII:CM005413.1; chromosome VIII:CM005414.1; chromosome IX:CM005415.1; chromosome X:CM005416.1; chromosome XI:CM005417.1; chromosome XII:CM005418.1; chromosome XIII:CM005419.1; chromosome XIV:CM005420.1; chromosome XV:CM005421.1; chromosome XVI:CM005422.1	MBVX01	384	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190470
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3625	38.3389	GCA_001738585.1	chromosome I:CM005503.1; chromosome II:CM005504.1; chromosome III:CM005505.1; chromosome IV:CM005506.1; chromosome V:CM005507.1; chromosome VI:CM005508.1; chromosome VII:CM005509.1; chromosome VIII:CM005510.1; chromosome IX:CM005511.1; chromosome X:CM005512.1; chromosome XI:CM005513.1; chromosome XII:CM005514.1; chromosome XIII:CM005515.1; chromosome XIV:CM005516.1; chromosome XV:CM005517.1; chromosome XVI:CM005518.1	MBVY01	400	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190469
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.5131	38.5738	GCA_001738595.1	chromosome I:CM005455.1; chromosome II:CM005456.1; chromosome III:CM005457.1; chromosome IV:CM005458.1; chromosome V:CM005459.1; chromosome VI:CM005460.1; chromosome VII:CM005461.1; chromosome VIII:CM005462.1; chromosome IX:CM005463.1; chromosome X:CM005464.1; chromosome XI:CM005465.1; chromosome XII:CM005466.1; chromosome XIII:CM005467.1; chromosome XIV:CM005468.1; chromosome XV:CM005469.1; chromosome XVI:CM005470.1	MBVZ01	299	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190468
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.9136	38.2962	GCA_001738605.1	chromosome I:CM005487.1; chromosome II:CM005488.1; chromosome III:CM005489.1; chromosome IV:CM005490.1; chromosome V:CM005491.1; chromosome VI:CM005492.1; chromosome VII:CM005493.1; chromosome VIII:CM005494.1; chromosome IX:CM005495.1; chromosome X:CM005496.1; chromosome XI:CM005497.1; chromosome XII:CM005498.1; chromosome XIII:CM005499.1; chromosome XIV:CM005500.1; chromosome XV:CM005501.1; chromosome XVI:CM005502.1	MBWA01	124	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190467
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8691	38.3627	GCA_001738615.1	chromosome I:CM005471.1; chromosome II:CM005472.1; chromosome III:CM005473.1; chromosome IV:CM005474.1; chromosome V:CM005475.1; chromosome VI:CM005476.1; chromosome VII:CM005477.1; chromosome VIII:CM005478.1; chromosome IX:CM005479.1; chromosome X:CM005480.1; chromosome XI:CM005481.1; chromosome XII:CM005482.1; chromosome XIII:CM005483.1; chromosome XIV:CM005484.1; chromosome XV:CM005485.1; chromosome XVI:CM005486.1	MBWB01	93	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190466
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.4993	38.441	GCA_001738705.1	chromosome I:CM005519.1; chromosome II:CM005520.1; chromosome III:CM005521.1; chromosome IV:CM005522.1; chromosome V:CM005523.1; chromosome VI:CM005524.1; chromosome VII:CM005525.1; chromosome VIII:CM005526.1; chromosome IX:CM005527.1; chromosome X:CM005528.1; chromosome XI:CM005529.1; chromosome XII:CM005530.1; chromosome XIII:CM005531.1; chromosome XIV:CM005532.1; chromosome XV:CM005533.1; chromosome XVI:CM005534.1	MBWC01	414	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190465
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8844	38.3003	GCA_001738715.1	chromosome I:CM005535.1; chromosome II:CM005536.1; chromosome III:CM005537.1; chromosome IV:CM005538.1; chromosome V:CM005539.1; chromosome VI:CM005540.1; chromosome VII:CM005541.1; chromosome VIII:CM005542.1; chromosome IX:CM005543.1; chromosome X:CM005544.1; chromosome XI:CM005545.1; chromosome XII:CM005546.1; chromosome XIII:CM005547.1; chromosome XIV:CM005548.1; chromosome XV:CM005549.1; chromosome XVI:CM005550.1	MBWD01	124	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190464
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.168	38.4157	GCA_001738725.1	chromosome I:CM005551.1; chromosome II:CM005552.1; chromosome III:CM005553.1; chromosome IV:CM005554.1; chromosome V:CM005555.1; chromosome VI:CM005556.1; chromosome VII:CM005557.1; chromosome VIII:CM005558.1; chromosome IX:CM005559.1; chromosome X:CM005560.1; chromosome XI:CM005561.1; chromosome XII:CM005562.1; chromosome XIII:CM005563.1; chromosome XIV:CM005564.1; chromosome XV:CM005565.1; chromosome XVI:CM005566.1	MBWE01	395	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190463
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3586	38.3951	GCA_001738755.1	chromosome I:CM005567.1; chromosome II:CM005568.1; chromosome III:CM005569.1; chromosome IV:CM005570.1; chromosome V:CM005571.1; chromosome VI:CM005572.1; chromosome VII:CM005573.1; chromosome VIII:CM005574.1; chromosome IX:CM005575.1; chromosome X:CM005576.1; chromosome XI:CM005577.1; chromosome XII:CM005578.1; chromosome XIII:CM005579.1; chromosome XIV:CM005580.1; chromosome XV:CM005581.1; chromosome XVI:CM005582.1	MBWF01	588	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190462
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3493	38.3543	GCA_001738825.1	chromosome I:CM005599.1; chromosome II:CM005600.1; chromosome III:CM005601.1; chromosome IV:CM005602.1; chromosome V:CM005603.1; chromosome VI:CM005604.1; chromosome VII:CM005605.1; chromosome VIII:CM005606.1; chromosome IX:CM005607.1; chromosome X:CM005608.1; chromosome XI:CM005609.1; chromosome XII:CM005610.1; chromosome XIII:CM005611.1; chromosome XIV:CM005612.1; chromosome XV:CM005613.1; chromosome XVI:CM005614.1	MBWG01	638	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190461
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.4921	38.4077	GCA_001738835.1	chromosome I:CM005583.1; chromosome II:CM005584.1; chromosome III:CM005585.1; chromosome IV:CM005586.1; chromosome V:CM005587.1; chromosome VI:CM005588.1; chromosome VII:CM005589.1; chromosome VIII:CM005590.1; chromosome IX:CM005591.1; chromosome X:CM005592.1; chromosome XI:CM005593.1; chromosome XII:CM005594.1; chromosome XIII:CM005595.1; chromosome XIV:CM005596.1; chromosome XV:CM005597.1; chromosome XVI:CM005598.1	MBWH01	725	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190460
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.1685	38.4379	GCA_001738845.1	chromosome I:CM005615.1; chromosome II:CM005616.1; chromosome III:CM005617.1; chromosome IV:CM005618.1; chromosome V:CM005619.1; chromosome VI:CM005620.1; chromosome VII:CM005621.1; chromosome VIII:CM005622.1; chromosome IX:CM005623.1; chromosome X:CM005624.1; chromosome XI:CM005625.1; chromosome XII:CM005626.1; chromosome XIII:CM005627.1; chromosome XIV:CM005628.1; chromosome XV:CM005629.1; chromosome XVI:CM005630.1	MBWI01	477	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190459
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.8081	38.3572	GCA_001738855.1	chromosome I:CM005631.1; chromosome II:CM005632.1; chromosome III:CM005633.1; chromosome IV:CM005634.1; chromosome V:CM005635.1; chromosome VI:CM005636.1; chromosome VII:CM005637.1; chromosome VIII:CM005638.1; chromosome IX:CM005639.1; chromosome X:CM005640.1; chromosome XI:CM005641.1; chromosome XII:CM005642.1; chromosome XIII:CM005643.1; chromosome XIV:CM005644.1; chromosome XV:CM005645.1; chromosome XVI:CM005646.1	MBWJ01	898	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190458
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.9195	38.3879	GCA_001738945.1	chromosome I:CM005663.1; chromosome II:CM005664.1; chromosome III:CM005665.1; chromosome IV:CM005666.1; chromosome V:CM005667.1; chromosome VI:CM005668.1; chromosome VII:CM005669.1; chromosome VIII:CM005670.1; chromosome IX:CM005671.1; chromosome X:CM005672.1; chromosome XI:CM005673.1; chromosome XII:CM005674.1; chromosome XIII:CM005675.1; chromosome XIV:CM005676.1; chromosome XV:CM005677.1; chromosome XVI:CM005678.1	MBWK01	1012	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190457
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.7425	38.3777	GCA_001738955.1	chromosome I:CM005647.1; chromosome II:CM005648.1; chromosome III:CM005649.1; chromosome IV:CM005650.1; chromosome V:CM005651.1; chromosome VI:CM005652.1; chromosome VII:CM005653.1; chromosome VIII:CM005654.1; chromosome IX:CM005655.1; chromosome X:CM005656.1; chromosome XI:CM005657.1; chromosome XII:CM005658.1; chromosome XIII:CM005659.1; chromosome XIV:CM005660.1; chromosome XV:CM005661.1; chromosome XVI:CM005662.1	MBWL01	787	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190456
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3048	38.3968	GCA_001738965.1	chromosome I:CM005679.1; chromosome II:CM005680.1; chromosome III:CM005681.1; chromosome IV:CM005682.1; chromosome V:CM005683.1; chromosome VI:CM005684.1; chromosome VII:CM005685.1; chromosome VIII:CM005686.1; chromosome IX:CM005687.1; chromosome X:CM005688.1; chromosome XI:CM005689.1; chromosome XII:CM005690.1; chromosome XIII:CM005691.1; chromosome XIV:CM005692.1; chromosome XV:CM005693.1; chromosome XVI:CM005694.1	MBWM01	517	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190455
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.1413	38.4064	GCA_001738985.1	chromosome I:CM005695.1; chromosome II:CM005696.1; chromosome III:CM005697.1; chromosome IV:CM005698.1; chromosome V:CM005699.1; chromosome VI:CM005700.1; chromosome VII:CM005701.1; chromosome VIII:CM005702.1; chromosome IX:CM005703.1; chromosome X:CM005704.1; chromosome XI:CM005705.1; chromosome XII:CM005706.1; chromosome XIII:CM005707.1; chromosome XIV:CM005708.1; chromosome XV:CM005709.1; chromosome XVI:CM005710.1	MBWN01	347	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190454
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3363	38.3569	GCA_001739065.1	chromosome I:CM005711.1; chromosome II:CM005712.1; chromosome III:CM005713.1; chromosome IV:CM005714.1; chromosome V:CM005715.1; chromosome VI:CM005716.1; chromosome VII:CM005717.1; chromosome VIII:CM005718.1; chromosome IX:CM005719.1; chromosome X:CM005720.1; chromosome XI:CM005721.1; chromosome XII:CM005722.1; chromosome XIII:CM005723.1; chromosome XIV:CM005724.1; chromosome XV:CM005725.1; chromosome XVI:CM005726.1	MBWO01	385	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190453
